method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
lstm,0.7254338673176309,0.8253332299803529,0.7593377625641027,2.024900695555556,0.9929695972051282,0.6825835780978013,0.8347133502572304,0.3174164219021986,0.16528664974276958,0.6887850407435946,0.8355721105901404,,,,,
linear_autoregressive,0.3699004561541906,0.4713041053547732,0.7977379703555556,1.997430224957265,1.0576430348401709,0.6825827815400645,0.8358667665408036,0.31741721845993565,0.16413323345919634,0.6893192488492232,0.8359873605653334,,,,,
uncertainty_aware_lstm_robust_lp,0.7254338673176309,0.8253332299803529,0.7985035758632477,1.7446124556410258,1.0436516381965812,0.6811844807289685,0.8373122935567564,0.31881551927103136,0.1626877064432436,0.6946420359042479,0.8385180845180421,0.56535804271698,1.1736900806427002,1.0500206932638876,0.7985035730769231,2.129342884615385
robust_current_demand_lp,0.38373529734809453,0.5267396474419717,0.8160191209538462,2.1094670076837607,1.0775232957470087,0.6810217467818771,0.8346927632592749,0.31897825321812295,0.16530723674072506,0.6886383635008084,0.8350198971160181,,,,0.8160191153846154,2.176050984615385
current_demand_lp,0.38373529734809453,0.5267396474419717,0.8160191214393162,2.1094670076837607,1.0775232957470087,0.6817121493727012,0.8346949071233288,0.3182878506272988,0.16530509287667117,0.6887272410130432,0.8349052210582878,,,,,
moving_average,0.6722387426507752,0.7892202049336545,0.8313942239555556,2.101290434017094,1.1055132671837606,0.6827684320363135,0.8378033958772247,0.31723156796368646,0.1621966041227752,0.6892565290082835,0.8375213256625165,,,,,
