method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
transformer,0.7030745011399326,0.8142601987187502,1.0502418994769231,2.53780553482906,1.3793982821794872,0.6821836581912453,0.83716302798776,0.3178163418087547,0.16283697201224004,0.6899007485226716,0.8375628630978522,,,,,
lstm,1.1138633276993437,1.2414836608592164,1.0821669726495724,2.3692562400000003,1.4153601870769232,0.6822359023562474,0.8372199711650694,0.31776409764375263,0.16278002883493053,0.690623733378911,0.8373106696981348,,,,,
uncertainty_aware_lstm_robust_lp,1.1138633276993437,1.2414836608592164,1.1335044287179488,2.479154875,1.4819571136615386,0.6812063095042059,0.8371556427527603,0.3187936904957942,0.16284435724723972,0.6954397055944193,0.8384430671826482,0.7254411578178406,1.8044971227645874,1.0450980195685275,1.1335044,3.0226785
linear_autoregressive,0.5099596231759371,0.6327304314095354,1.1949448461504273,2.9709696452564103,1.584058404068376,0.6829726547909734,0.8367059250746709,0.3170273452090266,0.16329407492532905,0.6894861476267804,0.8366802613376592,,,,,
robust_current_demand_lp,0.5068276313474185,0.6913479808730406,1.2233810676581196,3.106280626623932,1.6149575542713674,0.6813609415210021,0.8352784843748607,0.3186390584789978,0.16472151562513926,0.6886328114269524,0.8353464010914669,,,,1.2233810684615385,3.2623495153846154
current_demand_lp,0.5068276313474185,0.6913479808730406,1.2233810684786326,3.1549008597008545,1.6149575542713674,0.682651928826913,0.8357351859310561,0.317348071173087,0.164264814068944,0.6890078993491263,0.835922755527273,,,,,
moving_average,1.2489652472767991,1.3887994849300418,1.2691704725470088,3.182701122649573,1.6718538966239318,0.6827834262021617,0.835838689433079,0.31721657379783824,0.16416131056692101,0.6894622118319262,0.836175233035038,,,,,
