method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
linear_autoregressive,0.738057555450776,0.9387759636370928,0.4526816962905983,0.8568211112676922,0.7740440658333333,0.7324787306712045,0.8368941780420781,0.2675212693287955,0.16310582195792186,0.7585721884598068,0.8441595981192275,,,,,
lstm,0.5386292898237282,0.6965577250642436,0.4768878329416361,0.9060868803692308,0.8416486336996337,0.7355267694390787,0.8383364864177533,0.26447323056092126,0.1616635135822468,0.7570335718685773,0.8477633885501195,,,,,
uncertainty_aware_lstm_robust_lp,0.5386292898237282,0.6965577250642436,0.49142379545201464,0.9337052075692308,0.8664288131299146,0.7416458738583835,0.8367597571876519,0.25835412614161646,0.16324024281234806,0.7831572814233791,0.8469735036179974,0.3956942558288574,1.2126723527908325,1.0257485214564297,0.4914237930769231,0.93370521
robust_current_demand_lp,0.5018958154219131,0.7371545327009051,0.49520692348766787,0.9408931520338462,0.8711999921675214,0.7390958332552915,0.8359326378944647,0.2609041667447085,0.16406736210553535,0.7755845112370298,0.8447665631604806,,,,0.4952069223076923,0.9408931461538461
current_demand_lp,0.5018958154219131,0.7371545327009051,0.4952069236444444,0.9408931520338462,0.8711999921675214,0.7359323332133224,0.8379067373375515,0.26406766678667765,0.16209326266244845,0.7572868542065783,0.8474190434769386,,,,,
moving_average,0.941846568526376,1.1495414652126061,0.5037961656957265,0.9572127130153846,0.8935381449355311,0.7360494762492414,0.8388677823913563,0.2639505237507586,0.1611322176086437,0.7550770874178695,0.8478921542233823,,,,,
