time_step,topology,topology_source,seed,load_scale,method,solver_status,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,sample_backbone,synthetic,7,1.2,current_demand_lp,Optimal,0.5295521931062288,0.6595931237128956,0.40046058,0.33003114448511905,0.7608750999999999,0.562461016,0.7374266753722308,0.2625733246277691,0.8699887231827866,0.13001127681721333,0.7526519700187299,0.919341831848968,,,,,,
22,sample_backbone,synthetic,7,1.2,robust_current_demand_lp,Optimal,0.5295521931062288,0.6595931237128956,0.4004605808,0.3303724209306437,0.7608750999999999,0.562461016,0.7374266761744882,0.26257332382551174,0.8699887231827866,0.13001127681721333,0.7695053313142451,0.9051998751989584,,,,0.40046058,0.7608751,1->3 & 3->1 | 2->3 & 3->2
22,sample_backbone,synthetic,7,1.2,moving_average,Optimal,0.5883534016444241,0.6894384378864699,0.4000812672,0.32274410713589063,0.7601544028,0.559172652,0.7378584889302943,0.2621415110697058,0.8686180686430683,0.13138193135693169,0.7557501761101374,0.9185077518045593,,,,,,
22,sample_backbone,synthetic,7,1.2,linear_autoregressive,Optimal,1.161449848426804,1.3852944900038269,0.42455280800000006,0.28646875678328926,0.8066503319999999,0.55185896,0.7187310928050198,0.28126890719498027,0.8613009604604467,0.1386990395395534,0.7587730764318582,0.8883752068850854,,,,,,
22,sample_backbone,synthetic,7,1.2,lstm,Optimal,0.3601972325705258,0.44193955146995484,0.44010046857142854,0.3441805394440917,0.8361908871999999,0.610032376,0.7340192528109535,0.2659807471890466,0.8647045185394487,0.1352954814605513,0.7539775287388597,0.9174117361016626,,,,,,
22,sample_backbone,synthetic,7,1.2,uncertainty_aware_lstm_robust_lp,Optimal,0.3601972325705258,0.44193955146995484,0.4546364324,0.3553969931734568,0.863809216,0.62914002,0.7432933071581563,0.25670669284184366,0.8739756845225141,0.12602431547748594,0.7850794630872876,0.9109907438618666,0.3956942558288574,1.2126723527908325,1.027300969732846,0.45463643,0.86380921,1->3 & 3->1 | 2->3 & 3->2
23,sample_backbone,synthetic,7,1.2,current_demand_lp,Optimal,0.6297666585895633,0.7878368220757193,0.4741472485714286,0.3765527318714285,0.900879768,0.7442210228571428,0.7359808443676011,0.2640191556323988,0.9083326111877289,0.09166738881227118,0.760194919599015,0.9253598656058188,,,,,,
23,sample_backbone,synthetic,7,1.2,robust_current_demand_lp,Optimal,0.6297666585895633,0.7878368220757193,0.474147248,0.377962962659171,0.900879768,0.7442210228571428,0.737479359977006,0.262520640022994,0.9015918379845926,0.09840816201540734,0.7807905206913841,0.915602621679383,,,,0.47414725,0.90087977,1->3 & 3->1 | 2->3 & 3->2
23,sample_backbone,synthetic,7,1.2,moving_average,Optimal,1.1163207943431583,1.2895380887521475,0.4163117142857143,0.33113178949012345,0.7909922564000001,0.6590385999999999,0.7366829330663321,0.26331706693366785,0.9110296989473811,0.08897030105261892,0.7537651120445212,0.9254885586892176,,,,,,
23,sample_backbone,synthetic,7,1.2,linear_autoregressive,Optimal,0.34407810890039375,0.4536968980300412,0.5272753771428572,0.4139002712033069,1.0018232120000001,0.8331189199999999,0.7363263705944731,0.26367362940552685,0.9091235594377801,0.09087644056222,0.7612745822983362,0.9235202897886812,,,,,,
