method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
lstm,0.9702873941491446,1.082859892974691,0.8871091968000001,1.8609714587179484,1.1458623371111112,0.6884688067878162,0.8397627023180642,0.3115311932121839,0.1602372976819359,0.6862395640594465,0.8397198881558606,,,,,
transformer,0.9494246882535695,1.062509529919899,0.9155516671794872,1.915308923974359,1.1807838739999998,0.6888338766232217,0.8397023905118176,0.3111661233767782,0.16029760948818236,0.6863283317036901,0.8396966719802348,,,,,
linear_autoregressive,0.42968343383806307,0.5363262124158182,0.9656694614700855,2.0503823603846154,1.260851404094017,0.6883171806681653,0.8400278302507826,0.31168281933183467,0.15997216974921744,0.6836800132322269,0.8396798726116926,,,,,
moving_average,1.032204235475799,1.1556561772695506,1.0378016713504274,2.1910954765384614,1.3641339720598291,0.6885325862914246,0.8399294243438777,0.31146741370857545,0.16007057565612223,0.6849980076806287,0.8400811633861434,,,,,
