time_step,topology,seed,load_scale,method,scenario,failed_link,commodity_rank,source,destination,disrupted_amount,demand_value,commodity_disruption_ratio
22,sample_backbone,11,0.8,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,2,0,5,3.6905859,5.205400760117144,0.7089916934497366
22,sample_backbone,11,0.8,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,3,3,4,2.9061512,2.9061512155434968,0.9999999946515182
22,sample_backbone,11,0.8,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,4,2,4,1.7638501,3.2249981898258158,0.5469305705549146
22,sample_backbone,11,0.8,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,5,4,1,1.5313259,3.538324505842345,0.4327827754270513
22,sample_backbone,11,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,1,3,2,4.0055904,4.005590438842773,0.9999999903028595
22,sample_backbone,11,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,3.5272868,3.5272867679595947,1.0000000090835839
22,sample_backbone,11,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,5,3.383548,3.3835480213165283,0.999999993699948
22,sample_backbone,11,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,4,0,5,2.6425642,3.797727584838867,0.6958277393432685
22,sample_backbone,11,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,5,0,3,2.2058494,2.2058494091033936,0.9999999958730666
22,sample_backbone,11,0.8,lstm,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,3.3292403,3.329240322113037,0.999999993357933
22,sample_backbone,11,0.8,lstm,random_failure_fixed,3 -> 4 & 4 -> 3,2,3,4,2.869576,2.8695759773254395,1.000000007901711
22,sample_backbone,11,0.8,lstm,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,2.6770419,3.797727584838867,0.704906247274601
22,sample_backbone,11,0.8,lstm,random_failure_fixed,3 -> 4 & 4 -> 3,4,4,1,1.437841,2.9915831089019775,0.48062880008964254
22,sample_backbone,11,0.8,lstm,random_failure_fixed,3 -> 4 & 4 -> 3,5,2,4,1.1597136,3.169487237930298,0.36589943828179056
22,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,3,2,4.1103311,4.110331058502197,1.0000000100959756
22,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,0,5,3.879266,3.8792660236358643,0.9999999939071298
22,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,3,3.601588,3.601588010787964,0.9999999970046647
22,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,2,4,3.2290795,3.229079484939575,1.0000000046639994
22,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,5,0,2.9384427,2.9384427070617676,0.9999999975967653
22,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,3.4144583,3.4144582748413086,1.000000007368282
22,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,2,2,4,3.2290795,3.229079484939575,1.0000000046639994
22,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,3,3,4,2.9466646,2.946664571762085,1.0000000095830097
22,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,4,5,0,0.8094815,2.9384427070617676,0.2754797628194778
22,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,5,1,4,0.76412333,3.236806631088257,0.2360732095210432
23,sample_backbone,11,0.8,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,3,4.1927556,4.192755619814752,0.9999999952740503
23,sample_backbone,11,0.8,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,3,2,4.1463646,4.146364635596822,0.9999999914149322
23,sample_backbone,11,0.8,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,3,1,3.3926938,3.392693825236606,0.9999999925614843
