method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
uncertainty_aware_lstm_robust_lp,0.9633091790597609,1.0682840640569213,1.0889252866666665,1.5779554444444448,1.1590205545128205,0.7649080265178863,0.8283290703800916,0.23509197348211378,0.17167092961990835,0.7668469855609253,0.8307662779780693,0.6300446391105652,1.2896050214767456,1.0928212897829064,1.0889253,2.169318
robust_current_demand_lp,0.4537682263795952,0.5858631056139951,1.1505184265384616,1.647733181760684,1.3165464363333332,0.7643701454181796,0.8280420302916364,0.23562985458182045,0.1719579697083637,0.766127693874749,0.832161014154984,,,,1.150518423076923,2.293931269230769
current_demand_lp,0.4537682263795952,0.5858631056139951,1.1505184266324788,1.647733181760684,1.3165464363333332,0.7513911083011124,0.8233029760640662,0.24860889169888756,0.17669702393593376,0.7580359893316853,0.8271372642882338,,,,,
