time_step,topology,topology_source,seed,load_scale,method,solver_status,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,nsfnet,topozoo/Nsfnet,11,0.8,current_demand_lp,Optimal,0.38113477723155864,0.4921763132498405,0.7368780616666668,0.5335160192385185,1.0461026805,0.0,0.7496247855419206,0.2503752144580794,0.851434974641154,0.14856502535884594,0.7413493418911152,0.8461538487424226,,,,,,
22,nsfnet,topozoo/Nsfnet,11,0.8,robust_current_demand_lp,Optimal,0.38113477723155864,0.4921763132498405,0.73687806165,0.5325242843862963,1.0461026805,0.0,0.7672946841572169,0.23270531584278303,0.851434974641154,0.14856502535884594,0.7601850618511614,0.8461538487424226,,,,0.73687806,1.4213262,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign"
22,nsfnet,topozoo/Nsfnet,11,0.8,moving_average,Optimal,0.41673446339853903,0.5076522827324653,0.7279773966666666,0.5242646370890369,1.0310714644444448,0.0,0.7424910718175195,0.25750892818248045,0.8488506774412886,0.15114932255871144,0.734877464214006,0.8461538476615864,,,,,,
22,nsfnet,topozoo/Nsfnet,11,0.8,linear_autoregressive,Optimal,0.3150416929350566,0.39810717833528525,0.7653987733333332,0.5492881102081483,1.0857278433333335,0.0,0.7394257576418987,0.2605742423581013,0.846233994807585,0.15376600519241498,0.7379683440761735,0.846153847530603,,,,,,
22,nsfnet,topozoo/Nsfnet,11,0.8,lstm,Optimal,0.2042327708025518,0.26793465525873866,0.8143383777777777,0.5871268234022222,1.1592988244999998,0.0,0.7405633058878311,0.25943669411216885,0.8479406292716091,0.15205937072839093,0.7358172982974801,0.8461538467304363,,,,,,
22,nsfnet,topozoo/Nsfnet,11,0.8,uncertainty_aware_lstm_robust_lp,Optimal,0.2042327708025518,0.26793465525873866,0.8552302086666665,0.6157059567540741,1.2166828057777779,0.0,0.7670540131845069,0.23294598681549297,0.8479966618428355,0.1520033381571645,0.7615560391996434,0.8461538473403214,0.5559255480766296,0.9183499217033386,1.0499002508091726,0.85523021,1.6611395,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign"
23,nsfnet,topozoo/Nsfnet,11,0.8,current_demand_lp,Optimal,0.4469332212525976,0.550229217233273,0.8471606333333332,0.6116729862740743,1.2273920653333334,1.2246278093333332,0.7457016082646469,0.25429839173535307,0.8322825326071474,0.16771746739285268,0.7456313149880507,0.8269230781766989,,,,,,
23,nsfnet,topozoo/Nsfnet,11,0.8,robust_current_demand_lp,Optimal,0.4469332212525976,0.550229217233273,0.8471606324444445,0.6112495197229629,1.2273920653333334,1.2246278093333332,0.7697786096196719,0.23022139038032802,0.8395723732021513,0.1604276267978488,0.76586994931232,0.8357440234385197,,,,0.84716063,1.6559492,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign"
23,nsfnet,topozoo/Nsfnet,11,0.8,moving_average,Optimal,0.7263139250208929,0.8117368676381304,0.7482796711111112,0.5402607097588888,1.062447203777778,1.08268768,0.7485148113401157,0.25148518865988434,0.8273456363167604,0.17265436368323966,0.7429316816702997,0.822328647328948,,,,,,
23,nsfnet,topozoo/Nsfnet,11,0.8,linear_autoregressive,Optimal,0.5348240561067376,0.6177812285174158,0.810967505,0.5809969782192592,1.1367897004444445,1.1695095253333334,0.7422082211063543,0.25779177889364563,0.8319918276829698,0.1680081723170302,0.7364557554255454,0.8269230787750413,,,,,,
