method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
lstm,1.0180710849818715,1.146579461007407,1.1462283226495726,3.0566088564102563,1.4585719584615384,0.6771812195048904,0.833357640380146,0.3228187804951096,0.1666423596198539,0.6908651943698393,0.8374455634625656,,,,,
linear_autoregressive,0.5221413225325291,0.6583935798058883,1.1918380103863249,2.9693622955982906,1.5294506466068376,0.6746405400359782,0.8328134510805218,0.32535945996402177,0.16718654891947823,0.6886826535982375,0.8375805143678703,,,,,
uncertainty_aware_lstm_robust_lp,1.0180710849818715,1.146579461007407,1.2032165564786323,2.8489822568803413,1.5312524009743587,0.6717630180933946,0.8330591954860606,0.32823698190660544,0.16694080451393936,0.6864410925538518,0.8383058053508429,0.7881022691726685,1.5826643705368042,1.0484017456896364,1.2032165692307693,3.2085774923076924
robust_current_demand_lp,0.49946110045367004,0.6928736415705803,1.2316128255521368,3.198529397777778,1.589539619365812,0.6696780255616681,0.8306076868859166,0.33032197443833183,0.16939231311408345,0.6906488043662394,0.835557264085982,,,,1.2316128323076923,3.284300869230769
current_demand_lp,0.49946110045367004,0.6928736415705803,1.2316128259008547,3.1313730368376067,1.589539619365812,0.6751251824308593,0.8341425288459554,0.3248748175691407,0.1658574711540446,0.6903236245412772,0.8381811667155648,,,,,
moving_average,0.9458701915123686,1.1002850173083616,1.2547999535271794,3.27509828965812,1.6299012434871794,0.675411804271201,0.8343125882738017,0.32458819572879904,0.16568741172619833,0.6902158803730137,0.8375975839295116,,,,,
