method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
lstm,0.926240501559412,1.0341455360409053,0.9493799605128205,1.3501478314017097,0.9848676473888889,0.744142315669015,0.826907468855479,0.25585768433098505,0.17309253114452094,0.7402294264002024,0.8259299723307246,,,,,
transformer,0.9111982902683154,1.019319500228084,0.9678971311076924,1.376038161131624,1.0047740225982906,0.7401055582500843,0.8274562945764706,0.2598944417499157,0.17254370542352945,0.7347355346506821,0.8264669868221473,,,,,
linear_autoregressive,0.4112833602314894,0.5103748530256531,1.0896420848786326,1.538248977727778,1.2177642576068375,0.7425668262970423,0.8271161194042853,0.25743317370295765,0.17288388059571466,0.7381397565697078,0.8273842906974924,,,,,
moving_average,0.9710378974016604,1.0854593066466058,1.1246430496666666,1.599219791286752,1.2125976204957265,0.7442723323338952,0.8272091519902877,0.25572766766610483,0.17279084800971234,0.7397142514881424,0.8264321491507824,,,,,
