method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
transformer,0.5163704313834078,0.6442417712452411,0.3631176759882784,0.6899235818461539,0.6454586866849817,0.7211140064480019,0.8303963219770006,0.27888599355199806,0.16960367802299936,0.7639533904077485,0.8490175401046975,,,,,
lstm,0.5666787069167577,0.7120456576394358,0.3767787967296703,0.7158797104615384,0.6573005036520148,0.7228056670462153,0.8324618080768011,0.27719433295378465,0.16753819192319883,0.7709489562073991,0.8527004809206133,,,,,
uncertainty_aware_lstm_robust_lp,0.5666787069167577,0.7120456576394358,0.3881006834241758,0.7373912963076923,0.6760142047472528,0.7238181622336918,0.832775219317373,0.27618183776630817,0.167224780682627,0.7646174753093452,0.850315830647571,0.3334009051322937,0.842985987663269,1.0261508725926012,0.38810068,0.7373912938461539
current_demand_lp,0.44323971657440986,0.6519068767459617,0.4079898025714286,0.7750571310769231,0.6995494577008547,0.7242884668810465,0.8384761241505246,0.2757115331189534,0.16152387584947536,0.7670232740255358,0.8557341042186469,,,,,
robust_current_demand_lp,0.44323971657440986,0.6519068767459617,0.4079898025836386,0.7750571310769231,0.6995494577008547,0.7258665524412012,0.8368875511581477,0.2741334475587988,0.1631124488418523,0.76319552676942,0.8524426556278121,,,,0.40798979999999996,0.7750571307692307
moving_average,0.9869654273753367,1.1640960219640524,0.42195088224175825,0.8017066732307693,0.7472347145750915,0.7246907062782086,0.8343413152945283,0.2753092937217913,0.16565868470547182,0.7719910819614714,0.8540763230899832,,,,,
linear_autoregressive,0.5418517791281541,0.7197896513019076,0.42842969705494505,0.8139198039384615,0.7654823684725275,0.7203532592420423,0.8297083637566767,0.2796467407579578,0.1702916362433233,0.7686699323741111,0.8464629967046453,,,,,
