method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
lstm,0.8965149732152585,1.0071108668220174,0.951010289982906,2.082621696923076,1.243975871880342,0.682557894252841,0.8373757544281711,0.31744210574715914,0.1626242455718288,0.6903949568240482,0.8375424284882886,,,,,
linear_autoregressive,0.4380717462941258,0.5504125459438775,0.9963636072341882,2.515504344615384,1.3208777062222221,0.6828360775516578,0.83496248206198,0.3171639224483422,0.16503751793802002,0.6893152330768882,0.8352852997295085,,,,,
uncertainty_aware_lstm_robust_lp,0.8965149732152585,1.0071108668220174,0.9986774222564105,2.184337706282051,1.3057762772307693,0.681597453144484,0.837270522808073,0.31840254685551606,0.16272947719192699,0.6950242002043937,0.8384884785789688,0.6871951222419739,1.4424258470535278,1.0485146178492981,0.9986774223076923,2.663139807692308
robust_current_demand_lp,0.44339768262549983,0.606898227305894,1.0197000939350427,2.5730114559401707,1.346240424880342,0.6799264553817911,0.836273053323494,0.3200735446182089,0.16372694667650606,0.6876251524724033,0.8368437887579891,,,,1.0197000892307693,2.719200246153846
current_demand_lp,0.44339768262549983,0.606898227305894,1.0197000942564103,2.644904238119658,1.346240424880342,0.6821081631954236,0.8356608677022078,0.3178918368045765,0.16433913229779212,0.6889323656775527,0.8358375184848105,,,,,
moving_average,0.8298200069938146,0.9608977968479764,1.0387131353846155,2.6249533515811967,1.381344064034188,0.6830147002144127,0.8358334113569781,0.3169852997855873,0.1641665886430219,0.6893390308773724,0.8359507051428875,,,,,
