time_step,topology,seed,load_scale,method,scenario,failed_link,commodity_rank,source,destination,disrupted_amount,demand_value,commodity_disruption_ratio
22,sample_backbone,7,0.8,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,2.6862624,2.6862623843709863,1.0000000058181262
22,sample_backbone,7,0.8,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,2,4,1,2.2380048,2.2380047610963,1.000000017383207
22,sample_backbone,7,0.8,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,3,3,4,2.2364729,2.2364729181199787,0.9999999918979664
22,sample_backbone,7,0.8,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,4,1,4,2.1454401,3.7103388522832406,0.5782329284237085
22,sample_backbone,7,0.8,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,5,2,4,0.19123415,3.710437713161423,0.051539512257992276
22,sample_backbone,7,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,4.1002684,4.100268363952637,1.0000000087914644
22,sample_backbone,7,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,3.1353474,3.135347366333008,1.0000000107378828
22,sample_backbone,7,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,3,3,0,3.0936761,3.141569137573242,0.9847550585468771
22,sample_backbone,7,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,4,5,0,2.8942153,2.8942153453826904,0.9999999843195184
22,sample_backbone,7,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,5,0,3,2.5332675,2.5332674980163574,1.0000000007830372
22,sample_backbone,7,0.8,lstm,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,3.8500881,3.850088119506836,0.9999999949334053
22,sample_backbone,7,0.8,lstm,random_failure_fixed,3 -> 4 & 4 -> 3,2,3,4,3.1460252,3.1460251808166504,1.0000000060976466
22,sample_backbone,7,0.8,lstm,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,1.9191604,3.7292988300323486,0.5146169528021848
22,sample_backbone,7,0.8,lstm,random_failure_fixed,3 -> 4 & 4 -> 3,4,2,4,1.5863547,4.150940895080566,0.38216749891092106
22,sample_backbone,7,0.8,lstm,random_failure_fixed,3 -> 4 & 4 -> 3,5,4,1,0.99588175,3.0090134143829346,0.33096620481641414
22,sample_backbone,7,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,0,5,3.8095613,3.809561252593994,1.0000000124439543
22,sample_backbone,7,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,4,3.543228,4.227479457855225,0.8381419792392383
22,sample_backbone,7,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,3,3.1856265,3.18562650680542,0.9999999978637107
22,sample_backbone,7,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,5,0,2.9534476,2.9534475803375244,1.0000000066574657
22,sample_backbone,7,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,2,5,2.3046646,4.30269718170166,0.5356325352853523
22,sample_backbone,7,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,3.956913,3.9569129943847656,1.0000000014190948
22,sample_backbone,7,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,2,2,4,3.543228,4.227479457855225,0.8381419792392383
22,sample_backbone,7,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,3,3,4,3.2316334,3.231633424758911,0.999999992338577
22,sample_backbone,7,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,4,1,4,0.25542662,2.7333946228027344,0.0934466680621819
22,sample_backbone,7,0.8,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,5,4,0,0.21411114,1.8779113292694092,0.11401557499698281
22,sample_backbone,7,0.8,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,3.5235691,3.523569107055664,0.9999999979975803
22,sample_backbone,7,0.8,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,2.9561882,2.956188201904297,0.999999999355827
22,sample_backbone,7,0.8,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,3,3,0,2.8928759,2.9477059841156006,0.9813990661174943
22,sample_backbone,7,0.8,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,4,5,0,2.4877136,2.487713575363159,1.0000000099034074
22,sample_backbone,7,0.8,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,5,0,3,2.0385172,2.0385172367095947,0.9999999819920116
22,sample_backbone,7,0.8,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,3.5219898,3.5219898223876953,0.9999999936434526
22,sample_backbone,7,0.8,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,2,3,4,2.8134406,2.8134405612945557,1.000000013757335
22,sample_backbone,7,0.8,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,1.894399,3.481599807739258,0.5441173898817823
22,sample_backbone,7,0.8,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,4,2,4,1.4455421,3.770169973373413,0.3834156311808352
