topology,load_scale,method,prediction_mae_mean,prediction_rmse_mean,nominal_max_utilization_mean,nominal_max_utilization_std,critical_failure_reopt_max_utilization_mean,random_failure_reopt_max_utilization_mean,critical_failure_fixed_disrupted_fraction_mean,random_failure_fixed_disrupted_fraction_mean,critical_failure_fixed_fairness_mean,random_failure_fixed_fairness_mean,robust_worst_case_utilization_mean
abilene,0.8,current_demand_lp,0.38373049176082596,0.5308260568871871,0.8189686075977778,0.004171203327327966,2.042918473173077,1.0695637365081199,0.32272176571165806,0.16427296055458124,0.6882699009415271,0.8376012104951307,
abilene,0.8,linear_autoregressive,0.3737880734346721,0.48021052232831574,0.7963327148923076,0.0019873313347240754,1.9396345725641027,1.0391139501602564,0.3223254833207554,0.1656829517963302,0.6878504925424174,0.8368821120951353,
abilene,0.8,lstm,0.7079491667598694,0.8106071259205099,0.7591274925384616,0.0002973667220222001,2.0243399762393164,0.9791956949337607,0.3203291792538765,0.16591730938701438,0.6898427019066486,0.836521927699337,
abilene,0.8,moving_average,0.6572862278805142,0.7782101170913593,0.8345901392296753,0.00451970672485524,2.07748405707265,1.0969452037115386,0.3216858542104102,0.16374201340587013,0.6892151146317678,0.8379194476396926,
abilene,0.8,robust_current_demand_lp,0.38373049176082596,0.5308260568871871,0.8189686074461539,0.004171203799457713,2.084734370587607,1.0695637365081199,0.32482883078255753,0.16493887391861156,0.6901964102624341,0.8375882335980807,2.1839162846153846
abilene,0.8,uncertainty_aware_lstm_robust_lp,0.7079491667598694,0.8106071259205099,0.7986174235726495,0.00016100497468115815,1.9372812547435898,1.02996848841453,0.3235553036230996,0.16484104392866122,0.69503885046073,0.8383984764750759,2.129646473076923
abilene,1.0,current_demand_lp,0.44125222367214323,0.6093671533797952,1.0232327768222222,0.00499596759613026,2.6083135127991453,1.3359061611606837,0.3219376156381727,0.16479714206250734,0.6891029207742274,0.837191587667868,
abilene,1.0,linear_autoregressive,0.4434052876859025,0.5612608277614757,0.9948706489350427,0.0021113618747088028,2.528474853076923,1.2979443416410255,0.3210035390730572,0.16613685230430925,0.6893368191215001,0.8364754548890353,
abilene,1.0,lstm,0.8751978710497436,0.988595409302095,0.951882206894017,0.001233076720955622,2.3116496767521366,1.2279655680307693,0.32019642496093775,0.16460682556934525,0.690641048495786,0.8375486253274659,
abilene,1.0,moving_average,0.8116339922365282,0.9467096160925061,1.0425030696135043,0.005359776386996704,2.6092641400213674,1.3702416277222222,0.32162841027047057,0.16491633398413783,0.6889264506446917,0.8368083338171028,
abilene,1.0,robust_current_demand_lp,0.44125222367214323,0.6093671533797952,1.0232327763230769,0.004995967344714495,2.6003757702350425,1.3359061611606837,0.325418791730994,0.16680410934082285,0.6892371971245217,0.836051386554941,2.7286207346153843
abilene,1.0,uncertainty_aware_lstm_robust_lp,0.8751978710497436,0.988595409302095,0.9998755644615385,0.0016944289561435222,2.4269337942521365,1.2896978400299144,0.3233177464892443,0.1656256336127951,0.692735046882548,0.8377043556029967,2.6663348538461538
abilene,1.2,current_demand_lp,0.5031443659005442,0.6921108112218104,1.2274969471897437,0.005820731494335978,3.1431369482692304,1.6022485868185896,0.32111144437111383,0.1650611426114943,0.6896657619452018,0.8370519611214189,
abilene,1.2,linear_autoregressive,0.5160504728542331,0.6455620056077118,1.193391428268376,0.002196864636829633,2.9701659704273506,1.556754525337607,0.3211934025865242,0.16524031192240363,0.689084400612509,0.8371303878527647,
abilene,1.2,lstm,1.0432501682244641,1.16894073532943,1.1444347901452994,0.002536437992100327,3.0518261040170938,1.4766502310769232,0.31971264453393533,0.16597777317797324,0.6899064370200184,0.8364152001998766,
abilene,1.2,moving_average,0.9676052581889241,1.1176605987299844,1.2504159993704274,0.006199847425300695,3.2206451415811967,1.6435380518119658,0.32066237108373313,0.16410380643865058,0.6897901657164803,0.8374143380003372,
abilene,1.2,robust_current_demand_lp,0.5031443659005442,0.6921108112218104,1.2274969466051282,0.005820731827945455,3.152405012200855,1.6022485868185896,0.3244805164586648,0.16705691436961134,0.6896408078965959,0.8354518325887244,3.2733251923076923
abilene,1.2,uncertainty_aware_lstm_robust_lp,1.0432501682244641,1.16894073532943,1.2010896504957262,0.0030078992869182093,3.023108119722222,1.5495491341923073,0.32308136293365697,0.16631185517782998,0.6866877763866714,0.8360237860092825,3.202905753846154
nsfnet,0.8,current_demand_lp,0.3904519693755096,0.5132619182151885,0.9008572335822649,0.038281440606993074,1.2566099355576923,1.0020490336794872,0.25207371729530437,0.17287247930505661,0.7427202834776047,0.8273600377566817,
nsfnet,0.8,linear_autoregressive,0.3719227545805791,0.46447563787909685,0.889293195241453,0.023528455879144324,1.2359527355380342,0.9882713680367521,0.2535411701177557,0.17420676295856993,0.7422353744851813,0.8260914860815465,
nsfnet,0.8,lstm,0.7198247441942497,0.8146123246061692,0.8391814186068375,0.03513336575453659,1.1704569898547006,0.8643937699038461,0.25433774559040034,0.17394801188088643,0.7402837328111105,0.8256907105949329,
nsfnet,0.8,moving_average,0.6700358469264235,0.7714144708489632,0.9153969207564102,0.03664906244207873,1.2775766898925,1.0054805117350427,0.25299800634246394,0.17329448981103715,0.7424386885095571,0.8269777733963697,
nsfnet,0.8,robust_current_demand_lp,0.3904519693755096,0.5132619182151885,0.9008572331948719,0.038281440547463255,1.2566099355576923,1.0020490336794872,0.23437511816769074,0.16819600282411595,0.7584270930807986,0.831134758615554,1.7122738000000002
nsfnet,0.8,uncertainty_aware_lstm_robust_lp,0.7198247441942497,0.8146123246061692,0.881285380153846,0.0368475773947923,1.2285513871367524,0.907463591965812,0.23566213178406525,0.16837185730028248,0.7588784955828819,0.8315403162834931,1.67362065
nsfnet,1.0,current_demand_lp,0.44747492808978484,0.583556900941516,1.1255063262115386,0.04720303636275726,1.5695522192380342,1.2506582627692309,0.25214881153789137,0.17330176612834874,0.7428480100403445,0.8270460338655761,
nsfnet,1.0,linear_autoregressive,0.4396800194000285,0.540315970936945,1.1108242174217948,0.02995605912252464,1.544150706967094,1.2335839520299143,0.2534564777773349,0.17388280497518172,0.7422852904382207,0.8264946836239018,
nsfnet,1.0,lstm,0.8929269857512074,0.9962673412113818,1.0464640033333334,0.043564608372597756,1.4598032448333331,1.0776253285410256,0.25432751874774306,0.17396786765802222,0.7400128252872338,0.825599673326798,
nsfnet,1.0,moving_average,0.82634201655984,0.9368608297136577,1.1443306705440173,0.0453875551883037,1.596149799145299,1.25614354007906,0.252766916481871,0.17339083002628963,0.7426409470418476,0.8268713108688582,
