method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
transformer,0.5090884780820203,0.601267917114691,0.7586551286598291,1.0747278988775641,0.8100402510940172,0.742241445919663,0.827512096773479,0.2577585540803371,0.17248790322652097,0.7383301417180419,0.826644246819071,,,,,
lstm,0.7461607425302085,0.8456652766994863,0.7618031855555556,1.0828151746666665,0.791569342017094,0.739276761350234,0.8271429451395739,0.26072323864976604,0.17285705486042616,0.7349224041994944,0.8264870601314531,,,,,
uncertainty_aware_lstm_robust_lp,0.7461607425302085,0.8456652766994863,0.7985960644444445,1.134444316666667,0.8293850790811967,0.7650616453900494,0.8332518362034693,0.23493835460995072,0.16674816379653062,0.7595451345613176,0.8320690659686478,0.5022338628768921,0.9621903896331787,1.0482448021091664,0.79859606,1.5568007
linear_autoregressive,0.3529696347051185,0.443857306878549,0.8726560645384616,1.2308565204564101,0.9758617807743589,0.7426886734964573,0.826475242563546,0.25731132650354277,0.17352475743645396,0.7380576145535441,0.8265335792414296,,,,,
robust_current_demand_lp,0.38692133469084405,0.510101208063574,0.8737881669901709,1.2470902223247862,0.9813554747435898,0.7687441745382151,0.8334565987663735,0.2312558254617849,0.1665434012336266,0.7617644838356031,0.8299410100755722,,,,0.8737881538461539,1.7014536692307693
current_demand_lp,0.38692133469084405,0.510101208063574,0.87378816733547,1.2470902223247862,0.9813554747435898,0.7461550030006348,0.8289120894766632,0.2538449969993652,0.1710879105233369,0.7422112214540952,0.8274973135382063,,,,,
moving_average,0.8222537431616153,0.925033012809235,0.9026440938632478,1.2834984804322649,0.9518413029444445,0.7441946626089563,0.8270572810684853,0.2558053373910438,0.17294271893151472,0.7400333239842541,0.8265609564458727,,,,,
