method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
lstm,0.9175662835230033,1.017885806654253,1.065279691820513,1.5432838557264956,1.133231317905983,0.755462821458143,0.8237994524650929,0.24453717854185694,0.17620054753490713,0.7625552086890244,0.8261653636877442,,,,,
transformer,0.9078475222808575,1.0086708346598978,1.0896054642735042,1.5819552111965813,1.1618043762478634,0.7552557062051493,0.823890014282695,0.24474429379485085,0.17610998571730493,0.7617226884310752,0.8261364171344415,,,,,
linear_autoregressive,0.4076165663029421,0.5064338735251572,1.1099499676923077,1.6022180043333334,1.2870697734222223,0.7569576729161607,0.8238924918594809,0.24304232708383924,0.17610750814051912,0.763562980268254,0.8259432769159916,,,,,
moving_average,0.8497139317022027,0.958158764305153,1.1668503356515214,1.6803767443162394,1.3258811270384616,0.7533952242597395,0.8232594384870049,0.24660477574026063,0.1767405615129952,0.7606554005232039,0.8266169526019312,,,,,
