method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization
uncertainty_aware_lstm_robust_lp,0.9537070777087754,1.0595626127038023,1.0791344634700855,1.4814157676923072,1.103304389094017,0.76107553825224,0.8299057966285692,0.23892446174776008,0.17009420337143089,0.7547135593866604,0.8310068529795106,0.6234637498855591,1.1295514106750488,1.0740606146597378,1.0791345,2.0042389
current_demand_lp,0.45317969807735164,0.588977510287038,1.1588839133162394,1.5818307889948717,1.2760194572820514,0.7506386288492964,0.8253923689665178,0.24936137115070361,0.17460763103348226,0.744614378911713,0.8271882342803697,,,,,
robust_current_demand_lp,0.45317969807735164,0.588977510287038,1.1588839133589743,1.5818307889948717,1.2760194572820514,0.7625226489221194,0.8301252120654977,0.23747735107788065,0.1698747879345023,0.754829080772119,0.8321828532839789,,,,1.1588839023076924,2.1505148384615387
