topology,load_scale,method,prediction_mae_mean,prediction_rmse_mean,nominal_max_utilization_mean,nominal_max_utilization_std,critical_failure_reopt_max_utilization_mean,random_failure_reopt_max_utilization_mean,critical_failure_fixed_disrupted_fraction_mean,random_failure_fixed_disrupted_fraction_mean,critical_failure_fixed_fairness_mean,random_failure_fixed_fairness_mean,robust_worst_case_utilization_mean
abilene,0.8,current_demand_lp,0.38373049176082596,0.5308260568871871,0.8189686075977778,0.004171203327327966,2.042918473173077,1.0695637365081199,0.32272176571165806,0.16427296055458124,0.6882699009415271,0.8376012104951307,
abilene,0.8,linear_autoregressive,0.3737880734346721,0.48021052232831574,0.7963327148923076,0.0019873313347240754,1.9396345725641027,1.0391139501602564,0.3223254833207554,0.1656829517963302,0.6878504925424174,0.8368821120951353,
abilene,0.8,lstm,0.7030831898862322,0.8083747978267756,0.7155071973547009,0.015889074872165242,1.7753639032692308,0.9243595858811111,0.3215754236237214,0.16530159661694652,0.6901460587692101,0.8368754435258852,
abilene,0.8,moving_average,0.8212352362226456,0.9349491863481072,0.8504573216709401,0.004790840648666802,2.161574132029915,1.105762210474359,0.3217246724490809,0.16542871806065432,0.689531976012624,0.8364547383933167,
abilene,0.8,robust_current_demand_lp,0.38373049176082596,0.5308260568871871,0.8189686074461539,0.004171203799457713,2.084734370587607,1.0695637365081199,0.32482883078255753,0.16493887391861156,0.6901964102624341,0.8375882335980807,2.1839162846153846
abilene,0.8,transformer,0.4861867813992276,0.584902836996721,0.7188610888933333,0.018185105534929906,1.798777303568376,0.9309045166478631,0.32224371840532673,0.16599370815079273,0.6900220676071156,0.8367463445069214,
abilene,0.8,uncertainty_aware_lstm_robust_lp,0.7030831898862322,0.8083747978267756,0.7473273709145299,0.014860466365248194,1.7607297838461538,0.965311516211111,0.32473780770906324,0.1639094676684258,0.690510160876225,0.8383742884752834,1.9928729884615386
abilene,1.0,current_demand_lp,0.44125222367214323,0.6093671533797952,1.0232327768222222,0.00499596759613026,2.6083135127991453,1.3359061611606837,0.3219376156381727,0.16479714206250734,0.6891029207742274,0.837191587667868,
abilene,1.0,linear_autoregressive,0.4434052876859025,0.5612608277614757,0.9948706489350427,0.0021113618747088028,2.528474853076923,1.2979443416410255,0.3210035390730572,0.16613685230430925,0.6893368191215001,0.8364754548890353,
abilene,1.0,lstm,0.9049717054872431,1.021905816796794,0.9103692769333334,0.005487345417681541,2.2114618090811966,1.1747997504358973,0.32098062511833536,0.16481054047676466,0.6907609383407392,0.8370238615105043,
abilene,1.0,moving_average,1.0188805958973894,1.1474252543193617,1.0621045960241027,0.005634958728142628,2.6858871810683764,1.3810530352700856,0.32212181007287044,0.16464997972569007,0.6887727275426654,0.8371079403589359,
abilene,1.0,robust_current_demand_lp,0.44125222367214323,0.6093671533797952,1.0232327763230769,0.004995967344714495,2.6003757702350425,1.3359061611606837,0.325418791730994,0.16680410934082285,0.6892371971245217,0.836051386554941,2.7286207346153843
abilene,1.0,transformer,0.5708863003185839,0.676757420686237,0.9039495635282051,0.027405588503883728,2.232909751047009,1.169373329111966,0.32137240351736873,0.16503708283615326,0.690829934203026,0.8377511218607376,
abilene,1.0,uncertainty_aware_lstm_robust_lp,0.9049717054872431,1.021905816796794,0.9544366370940172,0.006240122096083556,2.317362958547009,1.2314301095811966,0.3190623744099962,0.16480943999306763,0.6973474300346421,0.8388177187605712,2.5451643576923075
abilene,1.2,current_demand_lp,0.5031443659005442,0.6921108112218104,1.2274969471897437,0.005820731494335978,3.1431369482692304,1.6022485868185896,0.32111144437111383,0.1650611426114943,0.6896657619452018,0.8370519611214189,
abilene,1.2,linear_autoregressive,0.5160504728542331,0.6455620056077118,1.193391428268376,0.002196864636829633,2.9701659704273506,1.556754525337607,0.3211934025865242,0.16524031192240363,0.689084400612509,0.8371303878527647,
abilene,1.2,lstm,1.0863784515763637,1.2172916366035387,1.0863464990786325,0.005910742960273285,2.2880686402564105,1.4020844411282052,0.32448724894288905,0.1635374179994064,0.6862088691335846,0.8380512189955653,
abilene,1.2,moving_average,1.21715727089747,1.3618248121635435,1.273751871183932,0.006479076086974158,3.2036765080982903,1.6563438616452992,0.32146709776091875,0.16528638789732258,0.6894922598609954,0.8367231195572147,
abilene,1.2,robust_current_demand_lp,0.5031443659005442,0.6921108112218104,1.2274969466051282,0.005820731827945455,3.152405012200855,1.6022485868185896,0.3244805164586648,0.16705691436961134,0.6896408078965959,0.8354518325887244,3.2733251923076923
abilene,1.2,transformer,0.6439249615562367,0.7578253219316778,1.0787835075367522,0.040363929210147295,2.7203485161752137,1.3976369272803417,0.32138806065430836,0.1649305136930111,0.6903373440367491,0.8371938980767969,
abilene,1.2,uncertainty_aware_lstm_robust_lp,1.0863784515763637,1.2172916366035387,1.1382186611965812,0.0066669315074617454,2.763487961346154,1.46876598834359,0.32384475439639876,0.16536798261200764,0.6929911830837627,0.837696551401014,3.0352498
nsfnet,0.8,current_demand_lp,0.3904519693755096,0.5132619182151885,0.9008572335822649,0.038281440606993074,1.2566099355576923,1.0020490336794872,0.25207371729530437,0.17287247930505661,0.7427202834776047,0.8273600377566817,
nsfnet,0.8,linear_autoregressive,0.3719227545805791,0.46447563787909685,0.889293195241453,0.023528455879144324,1.2359527355380342,0.9882713680367521,0.2535411701177557,0.17420676295856993,0.7422353744851813,0.8260914860815465,
nsfnet,0.8,lstm,0.7568842917685257,0.8544599457434521,0.7831900628888888,0.03024561198160961,1.0941321175,0.8076133888568375,0.25499410720711335,0.17401805498678363,0.7403179654186695,0.825702227602934,
nsfnet,0.8,moving_average,0.8375192330073975,0.9382702551286001,0.9294002421952137,0.03783890784793229,1.2955347950964744,0.9703430600491453,0.2524507814870965,0.1738771627999008,0.7430098628156945,0.8261705004077219,
nsfnet,0.8,robust_current_demand_lp,0.3904519693755096,0.5132619182151885,0.9008572331948719,0.038281440547463255,1.2566099355576923,1.0020490336794872,0.23437511816769074,0.16819600282411595,0.7584270930807986,0.831134758615554,1.7122738000000002
nsfnet,0.8,transformer,0.524562324728876,0.6134698451754471,0.7723026349226496,0.019300488449452532,1.0777066255274572,0.8210097400692309,0.25407843296939514,0.1739026218561628,0.7418920490538337,0.8258870115946326,
nsfnet,0.8,uncertainty_aware_lstm_robust_lp,0.7568842917685257,0.8544599457434521,0.820916183888889,0.03156541563212074,1.146316363888889,0.8461895067286325,0.23701207791736995,0.1684500978720443,0.7571310000326543,0.8315371157797351,1.5621900499999999
nsfnet,1.0,current_demand_lp,0.44747492808978484,0.583556900941516,1.1255063262115386,0.04720303636275726,1.5695522192380342,1.2506582627692309,0.25214881153789137,0.17330176612834874,0.7428480100403445,0.8270460338655761,
